run,distance,file,target_freq,detected_freq,error_hz,percent_error
14,12 inch,test_12in_4000hz.wav,4000,3580.6000000000004,-419.39999999999964,-10.484999999999992
14,12 inch,test_12in_400hz.wav,400,358.20000000000005,-41.799999999999955,-10.449999999999989
14,12 inch,test_12in_800hz.wav,800,716.4000000000001,-83.59999999999991,-10.449999999999989
14,18 inch,test_18in_100hz.wav,100,89.60000000000001,-10.399999999999991,-10.399999999999991
14,18 inch,test_18in_1600hz.wav,1600,1432.4,-167.5999999999999,-10.474999999999994
14,18 inch,test_18in_200hz.wav,200,179.0,-21.0,-10.5
14,18 inch,test_18in_3200hz.wav,3200,2864.4,-335.5999999999999,-10.487499999999997
14,18 inch,test_18in_4000hz.wav,4000,3580.4,-419.5999999999999,-10.489999999999998
14,18 inch,test_18in_400hz.wav,400,358.0,-42.0,-10.5
14,18 inch,test_18in_800hz.wav,800,716.0,-84.0,-10.5
14,24 inch,test_24in_100hz.wav,100,102.60000000000001,2.6000000000000085,2.6000000000000085
14,24 inch,test_24in_1600hz.wav,1600,1432.6000000000001,-167.39999999999986,-10.462499999999991
14,24 inch,test_24in_200hz.wav,200,179.0,-21.0,-10.5
14,24 inch,test_24in_3200hz.wav,3200,2865.2000000000003,-334.7999999999997,-10.462499999999991
14,24 inch,test_24in_4000hz.wav,4000,3581.0,-419.0,-10.475
14,24 inch,test_24in_400hz.wav,400,358.20000000000005,-41.799999999999955,-10.449999999999989
14,24 inch,test_24in_800hz.wav,800,716.2,-83.79999999999995,-10.474999999999994
14,30 inch,test_30in_100hz.wav,100,64.2,-35.8,-35.8
14,30 inch,test_30in_1600hz.wav,1600,1432.6000000000001,-167.39999999999986,-10.462499999999991
14,30 inch,test_30in_200hz.wav,200,179.0,-21.0,-10.5
14,30 inch,test_30in_3200hz.wav,3200,2865.4,-334.5999999999999,-10.456249999999997
14,30 inch,test_30in_4000hz.wav,4000,3579.6000000000004,-420.39999999999964,-10.509999999999991
14,30 inch,test_30in_400hz.wav,400,358.20000000000005,-41.799999999999955,-10.449999999999989
14,30 inch,test_30in_800hz.wav,800,716.4000000000001,-83.59999999999991,-10.449999999999989
14,36 inch,test_36in_100hz.wav,100,52.800000000000004,-47.199999999999996,-47.199999999999996
14,36 inch,test_36in_1600hz.wav,1600,1432.6000000000001,-167.39999999999986,-10.462499999999991
14,36 inch,test_36in_200hz.wav,200,179.0,-21.0,-10.5
14,36 inch,test_36in_3200hz.wav,3200,2865.0,-335.0,-10.46875
14,36 inch,test_36in_4000hz.wav,4000,3580.0,-420.0,-10.5
14,36 inch,test_36in_400hz.wav,400,358.20000000000005,-41.799999999999955,-10.449999999999989
