Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf,branch,experiment,file,expected,species,species_key,expected_key,confidence,start_s,end_s
0.0,3.0,Turdus grayi,Clay-colored Thrush,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Clay-colored Thrush,claycoloredthrush,americanrobin,0.0006,0.0,3.0
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0005,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Lazuli Bunting,lazulibunting,americanrobin,0.0005,0.0,3.0
3.0,6.0,Turdus migratorius,American Robin,0.9531,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,American Robin,americanrobin,americanrobin,0.9531,3.0,6.0
3.0,6.0,Turdus ignobilis,Black-billed Thrush,0.021,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-billed Thrush,blackbilledthrush,americanrobin,0.021,3.0,6.0
3.0,6.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0195,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Creamy-bellied Thrush,creamybelliedthrush,americanrobin,0.0195,3.0,6.0
3.0,6.0,Setophaga nigrescens,Black-throated Gray Warbler,0.004,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black-throated Gray Warbler,blackthroatedgraywarbler,americanrobin,0.004,3.0,6.0
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.0028,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Townsend's Solitaire,townsendssolitaire,americanrobin,0.0028,3.0,6.0
3.0,6.0,Limnodromus griseus,Short-billed Dowitcher,0.0027,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Short-billed Dowitcher,shortbilleddowitcher,americanrobin,0.0027,3.0,6.0
3.0,6.0,Haemorhous purpureus,Purple Finch,0.0024,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Purple Finch,purplefinch,americanrobin,0.0024,3.0,6.0
3.0,6.0,Turdus infuscatus,Black Thrush,0.0019,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Black Thrush,blackthrush,americanrobin,0.0019,3.0,6.0
3.0,6.0,Turdus obscurus,Eyebrowed Thrush,0.0018,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Eyebrowed Thrush,eyebrowedthrush,americanrobin,0.0018,3.0,6.0
3.0,6.0,Turdus falcklandii,Austral Thrush,0.0016,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Austral Thrush,australthrush,americanrobin,0.0016,3.0,6.0
3.0,6.0,Turdus rufitorques,Rufous-collared Robin,0.0013,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1.0,-1.0,-1,0.01,without_harmonics,E1_no_metadata,American Robin.wav,American Robin,Rufous-collared Robin,rufouscollaredrobin,americanrobin,0.0013,3.0,6.0
