experiment,without_file,expected,without_analysis_windows,without_target_detected,without_target_detection_windows,without_target_detection_rate,without_target_max_confidence,without_target_mean_confidence_all_windows,without_target_best_rank,without_top1_window_rate,without_top3_window_rate,without_top5_window_rate,without_target_best_margin,without_target_mean_margin,without_strongest_competitor_max_confidence,with_file,with_analysis_windows,with_target_detected,with_target_detection_windows,with_target_detection_rate,with_target_max_confidence,with_target_mean_confidence_all_windows,with_target_best_rank,with_top1_window_rate,with_top3_window_rate,with_top5_window_rate,with_target_best_margin,with_target_mean_margin,with_strongest_competitor_max_confidence,target_max_confidence_difference,target_mean_confidence_difference,target_detection_rate_difference,top1_window_rate_difference,top3_window_rate_difference,top5_window_rate_difference,target_mean_margin_difference,preferred_branch,decision_reason
E3_location_only,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11887499999999998,0.4181,Bewick's Wren.wav,4,True,1,0.25,0.892,0.223,1.0,0.25,0.25,0.25,0.6264000000000001,0.15422500000000003,0.2656,-0.011099999999999999,-0.0027749999999999997,0.0,0.0,0.0,0.0,0.03535000000000005,with_harmonics,better separation from competing species
E3_location_only,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148,Black Phoebe.wav,4,True,4,1.0,0.9995,0.99895,1.0,1.0,1.0,1.0,0.9982,0.9972999999999999,0.004,0.0027000000000000357,0.005750000000000033,0.0,0.0,0.0,0.0,0.014299999999999757,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E3_location_only,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.464675,0.0779,California Towhee.wav,4,True,2,0.5,0.9996,0.4993,1.0,0.5,0.5,0.5,0.997,0.4953,0.0088,0.02180000000000004,0.01242500000000002,0.0,0.0,0.0,0.0,0.030625000000000013,with_harmonics,meaningfully higher maximum target confidence
E3_location_only,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.9977,0.68265,0.5979,Hooded Oriole.wav,4,True,4,1.0,0.9999,0.964,1.0,1.0,1.0,1.0,0.9938,0.85795,0.4061,0.00039999999999995595,0.12860000000000005,0.0,0.25,0.0,0.0,0.1753,with_harmonics,higher target top-1 window rate
E3_location_only,House Finch.wav,House Finch,4,True,4,1.0,0.1601,0.059225,1.0,0.75,0.75,0.75,0.15639999999999998,0.049725,0.0269,House Finch.wav,4,True,4,1.0,0.8753,0.43270000000000003,1.0,0.75,0.75,0.75,0.8436,0.41030000000000005,0.0317,0.7152,0.373475,0.0,0.0,0.0,0.0,0.36057500000000003,with_harmonics,meaningfully higher maximum target confidence
E3_location_only,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,1.0,1.0,1.0,0.6533,0.44162500000000005,0.0088,House Sparrow.wav,4,True,4,1.0,0.7496,0.5643250000000001,1.0,1.0,1.0,1.0,0.7482000000000001,0.5526,0.0258,0.09020000000000006,0.11697500000000005,0.0,0.0,0.0,0.0,0.11097499999999993,with_harmonics,meaningfully higher maximum target confidence
E3_location_only,Lesser Goldfinch.wav,Lesser Goldfinch,4,True,4,1.0,0.5148,0.200175,1.0,0.5,1.0,1.0,0.46880000000000005,-0.07035,0.7082,Lesser Goldfinch.wav,4,True,4,1.0,0.5837,0.28625,1.0,0.75,1.0,1.0,0.4464,0.031200000000000006,0.7464,0.06889999999999996,0.08607500000000001,0.0,0.25,0.0,0.0,0.10155,with_harmonics,higher target top-1 window rate
E3_location_only,Northern House Wren.wav,Northern House Wren,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.5720999999999999,0.9908,Northern House Wren.wav,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.5658249999999999,0.9965,0.0,0.0,0.0,0.0,0.0,0.0,0.0062750000000000306,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
E3_location_only,Northern Mockingbird.wav,Northern Mockingbird,4,True,4,1.0,0.0318,0.012400000000000001,2.0,0.0,0.75,0.75,-0.0683,-0.29665,0.7175,Northern Mockingbird.wav,4,True,4,1.0,0.2579,0.18140000000000003,1.0,0.75,0.75,1.0,0.2504,0.0782,0.369,0.22610000000000002,0.16900000000000004,0.0,0.75,0.0,0.25,0.37485,with_harmonics,higher target top-1 window rate
E3_location_only,Northern Yellow Warbler.wav,Northern Yellow Warbler,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.24764999999999998,0.9434,Northern Yellow Warbler.wav,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0033,-0.25372500000000003,0.9787,0.0,0.0,0.0,0.0,0.0,0.0,-0.006075000000000053,no_meaningful_difference,top-k rates and confidence differences are approximately equivalent
