shift,distance_in,target_freq,detected_freq,frequency_error,rms,peak,target_power,dominant_power,filename
13,1,100,89.48863636363637,10.511363636363626,242.2702508316684,735.1353426846599,5425.019551765699,3788896.053127969,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_100hz.wav
13,1,1600,2864.1690340909095,1264.1690340909095,18520.94045865111,38945.50821200284,134924.2468036605,184788147.4321362,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_1600hz.wav
13,1,200,178.97727272727275,21.022727272727252,1049.244430849823,1771.868607954546,1973.0101581209526,16217575.754230652,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_200hz.wav
13,1,3200,2863.9914772727275,336.0085227272725,13715.072289547583,45897.208939985794,25547.02325133395,163547692.9083614,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_3200hz.wav
13,1,4000,3581.109550561798,418.8904494382018,3862.6303487946616,8203.202554424157,181.17832469454152,46361301.534111574,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_4000hz.wav
13,1,400,357.9545454545455,42.045454545454504,4946.300559694905,7570.45068359375,3824.267507897845,68621734.99466474,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_400hz.wav
13,1,800,716.0866477272729,83.91335227272714,9413.503709931618,13717.258478338068,5935.2888483495535,130791068.61295466,./Experiment1_FrequencyAccuracy\13\1 inch\test_1in_800hz.wav
13,12,100,89.48863636363637,10.511363636363626,52.01902104813699,273.49010120738603,10991.269028252254,487654.67751388025,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_100hz.wav
13,12,1600,1432.057584269663,167.94241573033696,3460.5103216483476,5932.361218398877,493.77134497936305,49458122.3778221,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_1600hz.wav
13,12,200,178.97727272727275,21.022727272727252,96.71248094262096,2182.1513671875,8686.34906449497,1271740.290825606,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_200hz.wav
13,12,3200,2864.1690340909095,335.83096590909054,1347.6871181386377,2931.828169389204,484.3247967005439,19405971.47484391,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_3200hz.wav
13,12,4000,3580.5828651685397,419.4171348314603,663.2868562898409,1092.801439606741,60.475147570412446,8214600.940086388,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_4000hz.wav
13,12,400,357.9545454545455,42.045454545454504,205.47806146476768,565.424849076704,329.7916257363833,2707080.9372986164,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_400hz.wav
13,12,800,716.2642045454546,83.73579545454538,1417.667453996308,2144.472523082386,302.28822338807197,19238012.994360972,./Experiment1_FrequencyAccuracy\13\12 inch\test_12in_800hz.wav
13,18,100,89.48863636363637,10.511363636363626,56.83861384890381,204.48015802556802,9309.629960979517,334847.4296826541,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_100hz.wav
13,18,1600,1432.1732954545457,167.82670454545428,2142.7947719266817,3891.305708451704,403.76550913002995,33872927.654812425,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_1600hz.wav
13,18,200,178.97727272727275,21.022727272727252,98.91540478105267,307.45556640625,7166.399808217188,1360961.4238989765,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_200hz.wav
13,18,3200,2863.9914772727275,336.0085227272725,1033.057071913837,1959.138671875,251.29311613137767,14376862.755511114,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_3200hz.wav
13,18,4000,2515.980113636364,1484.019886363636,18520.250278465923,33040.46566495029,1119349.3708853365,30905186.31514208,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_4000hz.wav
13,18,400,357.97050561797755,42.02949438202245,303.7054642645142,623.1631408005615,1524.6685377703047,4042366.67320342,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_400hz.wav
13,18,800,716.0866477272729,83.91335227272714,1283.4074021649342,2086.869806463068,823.6447186364281,18297456.729011063,./Experiment1_FrequencyAccuracy\13\18 inch\test_18in_800hz.wav
13,24,100,89.48863636363637,10.511363636363626,43.582069877094185,156.74502840909008,6926.076058731166,215240.82874939076,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_100hz.wav
13,24,1600,1431.9957386363637,168.00426136363626,2639.5970810075933,4109.281294389204,1822.472561528499,39310381.91307565,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_1600hz.wav
13,24,200,178.97727272727275,21.022727272727252,120.28131460599579,418.4408291903401,1939.4751668342276,1610019.8078890548,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_200hz.wav
13,24,3200,2864.3465909090914,335.65340909090855,1035.0956840508557,1865.559303977272,612.617355448845,15670056.825396586,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_3200hz.wav
13,24,4000,839.3110795454546,3160.6889204545455,19009.200321168537,35843.296697443184,3996905.175477313,57566297.91449418,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_4000hz.wav
13,24,400,357.97050561797755,42.02949438202245,218.50355724496876,475.758426966293,2664.956975178295,3280244.3193696593,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_400hz.wav
13,24,800,715.909090909091,84.09090909090901,375.7600098058808,855.991033380682,540.2860886834009,5798316.133618736,./Experiment1_FrequencyAccuracy\13\24 inch\test_24in_800hz.wav
13,30,100,32.84801136363637,67.15198863636363,58.32115951312981,207.36776455965992,5014.568785380925,227737.29787546332,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_100hz.wav
13,30,1600,1432.1732954545457,167.82670454545428,625.9401257054685,1537.520063920454,1036.7372620393335,8543675.29216511,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_1600hz.wav
13,30,200,178.97727272727275,21.022727272727252,149.85446209914548,544.94580078125,4218.722737033559,1693092.8570563123,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_200hz.wav
13,30,3200,2864.1690340909095,335.83096590909054,1037.7551922915018,1742.028364701704,100.49365605903792,15308056.254419457,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_3200hz.wav
13,30,4000,3580.0781250000005,419.92187499999955,247.58023530948438,590.129216974432,76.75217066928963,2967110.9539882513,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_4000hz.wav
13,30,400,357.97050561797755,42.02949438202245,293.501875151773,593.6250438904499,984.3557135361609,4517036.837108782,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_400hz.wav
13,30,800,716.0866477272729,83.91335227272714,661.4968231650604,1247.280450994318,313.86162341705494,10321946.953130547,./Experiment1_FrequencyAccuracy\13\30 inch\test_30in_800hz.wav
13,36,100,38.352272727272734,61.647727272727266,67.69595088687657,270.57896839488603,14935.764440813075,184558.26416312382,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_100hz.wav
13,36,1600,1432.1732954545457,167.82670454545428,2165.8904898180567,4151.886851917614,532.1530580656122,30869736.411237665,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_1600hz.wav
13,36,200,178.97727272727275,21.022727272727252,108.09229446470044,302.11243785511397,3440.220389888382,1448861.9660754367,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_200hz.wav
13,36,3200,2864.524147727273,335.475852272727,1204.9048684934712,2193.2451171875,647.3882415524572,14503879.7375468,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_3200hz.wav
13,36,4000,3580.0781250000005,419.92187499999955,549.6803049255931,935.167125355114,27.788958946988714,6142086.023082696,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_4000hz.wav
13,36,400,357.9545454545455,42.045454545454504,396.9231919522622,715.5851828835221,2032.4927991643406,5860419.187975774,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_400hz.wav
13,36,800,716.0866477272729,83.91335227272714,853.0058895266011,1566.651988636364,932.6432864997356,12843397.74679493,./Experiment1_FrequencyAccuracy\13\36 inch\test_36in_800hz.wav
13,4,100,89.48863636363637,10.511363636363626,86.8495203787452,271.786931818182,19037.9555372462,1258345.2056622368,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_100hz.wav
13,4,1600,1431.6406250000002,168.35937499999977,8875.9809757592,13478.429421164772,6897.181523271942,131952419.23142004,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_1600hz.wav
13,4,200,178.97727272727275,21.022727272727252,270.24520815643285,564.06689453125,3859.517166726417,4164926.0585756944,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_200hz.wav
13,4,3200,2863.2812500000005,336.71874999999955,5229.525939222764,7935.470925071022,806.817002951294,78549694.22849363,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_3200hz.wav
13,4,4000,3580.788352272728,419.21164772727207,1132.0774170386733,1883.403586647728,99.26403124785065,11575200.72699548,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_4000hz.wav
13,4,400,357.9545454545455,42.045454545454504,1065.7372281228968,1773.34912109375,978.6714065860122,16595262.730097868,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_400hz.wav
13,4,800,715.909090909091,84.09090909090901,2818.1927980168975,4206.69229403409,2000.7414830404177,43884755.74326838,./Experiment1_FrequencyAccuracy\13\4 inch\test_4in_800hz.wav
13,8,100,89.48863636363637,10.511363636363626,56.56676866181891,444.0537109375,3941.570579798953,666446.6590017898,./Experiment1_FrequencyAccuracy\13\8 inch\test_8in_100hz.wav
13,8,1600,1432.1732954545457,167.82670454545428,4080.6853004966674,6606.187189275568,1292.5768982137186,61825055.76939166,./Experiment1_FrequencyAccuracy\13\8 inch\test_8in_1600hz.wav
13,8,200,178.97727272727275,21.022727272727252,125.89523115359819,360.19553444602207,1164.7543643726708,1760023.0602383655,./Experiment1_FrequencyAccuracy\13\8 inch\test_8in_200hz.wav
