experiment,recording_count,mean_top1_accuracy,mean_top3_accuracy,mean_top5_accuracy,max_top1_accuracy,max_top3_accuracy,max_top5_accuracy,expected_detection_rate,mean_expected_confidence,mean_confidence_retention,mean_active_window_detection_rate
E1_no_metadata,140,0.9357142857142857,0.9785714285714285,0.9928571428571429,0.9071428571428571,0.9571428571428572,0.9857142857142858,1.0,0.6558423809523809,0.9098254352730898,0.9476190476190476
E2_week_only,140,0.9357142857142857,0.9785714285714285,0.9928571428571429,0.9071428571428571,0.9571428571428572,0.9857142857142858,1.0,0.6558423809523809,0.9098254352730898,0.9476190476190476
E3_location_only,140,0.9714285714285714,1.0,1.0,0.9571428571428572,1.0,1.0,1.0,0.6559063095238095,0.910253477423657,0.9797619047619047
E4_week_and_location,140,0.9714285714285714,1.0,1.0,0.9571428571428572,1.0,1.0,1.0,0.6559063095238095,0.910253477423657,0.9797619047619047
