experiment,bird,distance,file,mean_correct_top1,mean_correct_top3,mean_correct_top5,mean_expected_rank,max_correct_top1,max_correct_top3,max_correct_top5,max_expected_rank,expected_detected,expected_max_active_window_confidence,expected_mean_active_window_confidence,active_window_detection_rate,reference_1ft_confidence,confidence_change_from_1ft,confidence_retention_from_1ft
E1_no_metadata,Northern House Wren,4ft,Northern_House_Wren_4ft.wav,True,True,True,1,True,True,True,1,True,0.9978,0.8470333333333334,1.0,0.7593666666666667,0.08766666666666667,1.115447083095562
E1_no_metadata,Northern Mockingbird,4ft,Northern_Mockingbird_4ft.wav,True,True,True,1,True,True,True,1,True,0.8118,0.359625,0.75,0.31210000000000004,0.04752499999999993,1.1522749118872153
E1_no_metadata,Northern Yellow Warbler,4ft,Northern_Yellow_Warbler_4ft.wav,True,True,True,1,True,True,True,1,True,0.9331,0.9331,1.0,0.9617,-0.02859999999999996,0.9702609961526464
E1_no_metadata,Oak Titmouse,4ft,Oak_Titmouse_4ft.wav,True,True,True,1,True,True,True,1,True,0.9989,0.894675,1.0,0.910375,-0.015700000000000047,0.9827543594672524
E1_no_metadata,Rock Pigeon,4ft,Rock_Pigeon_4ft.wav,True,True,True,1,True,True,True,1,True,0.9948,0.9934666666666666,1.0,0.8856333333333333,0.10783333333333334,1.1217584402875531
E1_no_metadata,Song Sparrow,4ft,Song_Sparrow_4ft.wav,True,True,True,1,True,True,True,1,True,0.9624,0.9624,1.0,0.9159,0.046499999999999986,1.050769734687193
E1_no_metadata,Spotted Towhee,4ft,Spotted_Towhee_4ft.wav,True,True,True,1,True,True,True,1,True,0.9896,0.9879,1.0,0.9761,0.011800000000000033,1.0120889253150291
E1_no_metadata,American Robin,8ft,American_Robin_8ft.wav,True,True,True,1,True,True,True,1,True,0.969,0.85685,1.0,0.9196,-0.06274999999999997,0.9317638103523271
E1_no_metadata,Anna's Hummingbird,8ft,Annas_Hummingbird_8ft.wav,True,True,True,1,True,True,True,1,True,0.9986,0.9588000000000001,1.0,0.94445,0.014350000000000085,1.015194028270422
E1_no_metadata,Barn Swallow,8ft,Barn_Swallow_8ft.wav,True,True,True,1,True,True,True,1,True,0.9986,0.9903666666666666,1.0,0.9812333333333334,0.009133333333333216,1.0093080137242245
E1_no_metadata,Bewick's Wren,8ft,Bewicks_Wren_8ft.wav,True,True,True,1,True,True,True,1,True,0.8914,0.8914,1.0,0.8609,0.03049999999999997,1.0354280404228133
E1_no_metadata,Black Phoebe,8ft,Black_Phoebe_8ft.wav,True,True,True,1,True,True,True,1,True,0.9996,0.9988999999999999,1.0,0.9997250000000001,-0.0008250000000001867,0.9991747730625921
E1_no_metadata,California Towhee,8ft,California_Towhee_8ft.wav,True,True,True,1,True,True,True,1,True,0.9996,0.9963500000000001,1.0,0.9981,-0.0017499999999999183,0.998246668670474
E1_no_metadata,Dark-eyed Junco,8ft,Dark_eyed_Junco_8ft.wav,True,True,True,1,True,True,True,1,True,0.9858,0.97185,1.0,0.9764999999999999,-0.004649999999999932,0.9952380952380953
E1_no_metadata,European Starling,8ft,European_Starling_8ft.wav,True,True,True,1,False,True,True,2,True,0.3068,0.1441,0.75,0.344325,-0.200225,0.41849996369708853
E1_no_metadata,Hooded Oriole,8ft,Hooded_Oriole_8ft.wav,True,True,True,1,True,True,True,1,True,0.9939,0.6775,1.0,0.755325,-0.07782500000000003,0.8969648826664018
E1_no_metadata,House Finch,8ft,House_Finch_8ft.wav,True,True,True,1,True,True,True,1,True,0.6912,0.29940000000000005,1.0,0.6496333333333334,-0.35023333333333334,0.46087536559084613
E1_no_metadata,House Sparrow,8ft,House_Sparrow_8ft.wav,True,True,True,1,True,True,True,1,True,0.3691,0.288925,1.0,0.5964,-0.30747500000000005,0.4844483568075117
E1_no_metadata,Lesser Goldfinch,8ft,Lesser_Goldfinch_8ft.wav,True,True,True,1,True,True,True,1,True,0.4873,0.1922,1.0,0.06257499999999999,0.12962500000000002,3.0715141829804242
E1_no_metadata,Mourning Dove,8ft,Mourning_Dove_8ft.wav,False,True,True,2,True,True,True,1,True,0.5156,0.21356666666666665,1.0,0.7801,-0.5665333333333333,0.2737683203008161
E1_no_metadata,Northern House Wren,8ft,Northern_House_Wren_8ft.wav,True,True,True,1,True,True,True,1,True,0.9958,0.7113666666666667,1.0,0.7593666666666667,-0.04800000000000004,0.9367894297879812
E1_no_metadata,Northern Mockingbird,8ft,Northern_Mockingbird_8ft.wav,True,True,True,1,True,True,True,1,True,0.8684,0.4608,1.0,0.31210000000000004,0.14869999999999994,1.4764498558154435
E1_no_metadata,Northern Yellow Warbler,8ft,Northern_Yellow_Warbler_8ft.wav,True,True,True,1,True,True,True,1,True,0.9017,0.9017,1.0,0.9617,-0.06000000000000005,0.9376104814391182
E1_no_metadata,Oak Titmouse,8ft,Oak_Titmouse_8ft.wav,True,True,True,1,True,True,True,1,True,0.9995,0.7524,1.0,0.910375,-0.1579750000000001,0.8264726074419881
E1_no_metadata,Rock Pigeon,8ft,Rock_Pigeon_8ft.wav,True,True,True,1,True,True,True,1,True,0.9995,0.9980666666666668,1.0,0.8856333333333333,0.1124333333333335,1.1269524633971923
E1_no_metadata,Song Sparrow,8ft,Song_Sparrow_8ft.wav,True,True,True,1,True,True,True,1,True,0.9496,0.9496,1.0,0.9159,0.03369999999999995,1.0367944098700732
E1_no_metadata,Spotted Towhee,8ft,Spotted_Towhee_8ft.wav,True,True,True,1,True,True,True,1,True,0.9755,0.9726,1.0,0.9761,-0.0034999999999999476,0.9964143018133389
E1_no_metadata,American Robin,12ft,American_Robin_12ft.wav,True,True,True,1,True,True,True,1,True,0.8056,0.7108,1.0,0.9196,-0.20879999999999999,0.7729447585906916
E1_no_metadata,Anna's Hummingbird,12ft,Annas_Hummingbird_12ft.wav,True,True,True,1,True,True,True,1,True,0.9994,0.98305,1.0,0.94445,0.03859999999999997,1.0408703478214834
