Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Junco hyemalis,Dark-eyed Junco,0.8534,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spizella passerina,Chipping Sparrow,0.0732,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga coronata,Yellow-rumped Warbler,0.0076,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Certhia americana,Brown Creeper,0.0064,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis celata,Orange-crowned Warbler,0.0047,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta canadensis,Red-breasted Nuthatch,0.0030,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Spinus tristis,American Goldfinch,0.0029,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Melospiza melodia,Song Sparrow,0.0023,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax oberholseri,Dusky Flycatcher,0.0022,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Leiothlypis ruficapilla,Nashville Warbler,0.0022,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax hammondii,Hammond's Flycatcher,0.0021,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sitta carolinensis,White-breasted Nuthatch,0.0019,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Contopus cooperi,Olive-sided Flycatcher,0.0017,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga occidentalis,Hermit Warbler,0.0017,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0015,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryobates villosus,Hairy Woodpecker,0.0015,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Haemorhous purpureus,Purple Finch,0.0014,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0013,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Dryocopus pileatus,Pileated Woodpecker,0.0012,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga townsendi,Townsend's Warbler,0.0012,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates villosus,Hairy Woodpecker,0.0066,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Melospiza melodia,Song Sparrow,0.0051,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Spinus tristis,American Goldfinch,0.0051,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Cardinalis cardinalis,Northern Cardinal,0.0047,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Haemorhous mexicanus,House Finch,0.0046,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryobates pubescens,Downy Woodpecker,0.0040,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Megaceryle alcyon,Belted Kingfisher,0.0035,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Certhia americana,Brown Creeper,0.0034,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Sitta carolinensis,White-breasted Nuthatch,0.0034,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Columba livia,Rock Pigeon,0.0029,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Lophodytes cucullatus,Hooded Merganser,0.0029,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Dryocopus pileatus,Pileated Woodpecker,0.0026,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Branta canadensis,Canada Goose,0.0026,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
3.0,6.0,Zenaida macroura,Mourning Dove,0.0022,Birdsongs Recordings\36ft\Dark_eyed_Junco_36ft.wav,34.0522,-118.2437,-1,0.01
