snr_bin,recording_count,median_snr_db,median_fdi_db,median_abs_bandwidth_change_hz,median_abs_low_edge_change_hz,median_abs_high_edge_change_hz
<0,11,-7.211106389423092,5.488634397729984,334.3342812703909,309.8829492275495,231.15561936657468
0–3,5,2.216408449733367,5.268904117990464,526.293512553224,70.54305458938666,297.7553191871748
3–6,17,4.64501961812475,4.542964458025998,81.0171822595139,44.5238856272972,102.7825402453891
6–10,13,7.681079623619449,4.653475948272872,274.1148054806804,50.946497384443546,196.55970846871836
10–15,20,13.287743895037387,5.409688072861172,232.5638413153854,72.09682001676177,238.15175139797657
15–20,29,17.87188530569559,5.501398947950623,296.9353423013672,122.15201774012758,189.48218881771663
>=20,33,24.511463096830592,0.0,0.0,0.0,0.0
