bird,distance,file,environment_adjusted_snr_db,frequency_distortion_index_db,bandwidth_change_hz,usable_low_edge_change_hz,usable_high_edge_change_hz
Bewick's Wren,8ft,Bewicks_Wren_8ft.wav,22.723922572483527,6.334225485252767,-755.5995140663304,461.59820790059393,-294.0013061657364
California Towhee,8ft,California_Towhee_8ft.wav,23.102607469116062,7.038504246122754,-1578.1560346537472,976.1613982102526,-601.9946364434945
American Robin,1ft,American_Robin_1ft.wav,24.42643487533888,0.0,0.0,0.0,0.0
Northern Yellow Warbler,1ft,Northern_Yellow_Warbler_1ft.wav,24.511463096830592,0.0,0.0,0.0,0.0
Anna's Hummingbird,1ft,Annas_Hummingbird_1ft.wav,26.001128279548148,0.0,0.0,0.0,0.0
Rock Pigeon,1ft,Rock_Pigeon_1ft.wav,26.3386383752532,0.0,0.0,0.0,0.0
European Starling,1ft,European_Starling_1ft.wav,26.350949919927167,0.0,0.0,0.0,0.0
House Finch,1ft,House_Finch_1ft.wav,27.072420880348037,0.0,0.0,0.0,0.0
Dark-eyed Junco,8ft,Dark_eyed_Junco_8ft.wav,27.341816540541544,6.698799030257118,-839.2296848845581,365.38650817660255,-473.84317670795554
Mourning Dove,1ft,Mourning_Dove_1ft.wav,27.436080572971523,0.0,0.0,0.0,0.0
Song Sparrow,1ft,Song_Sparrow_1ft.wav,27.49591533724008,0.0,0.0,0.0,0.0
California Towhee,1ft,California_Towhee_1ft.wav,29.15430517867753,0.0,0.0,0.0,0.0
Barn Swallow,1ft,Barn_Swallow_1ft.wav,29.170921406643288,0.0,0.0,0.0,0.0
Oak Titmouse,1ft,Oak_Titmouse_1ft.wav,29.43080115451302,0.0,0.0,0.0,0.0
Lesser Goldfinch,1ft,Lesser_Goldfinch_1ft.wav,30.78118450168126,0.0,0.0,0.0,0.0
Black Phoebe,1ft,Black_Phoebe_1ft.wav,30.81132939262056,0.0,0.0,0.0,0.0
Spotted Towhee,1ft,Spotted_Towhee_1ft.wav,30.98771427797532,0.0,0.0,0.0,0.0
Dark-eyed Junco,1ft,Dark_eyed_Junco_1ft.wav,32.135453468873735,0.0,0.0,0.0,0.0
Northern House Wren,1ft,Northern_House_Wren_1ft.wav,32.595177837907755,0.0,0.0,0.0,0.0
Northern Mockingbird,1ft,Northern_Mockingbird_1ft.wav,33.08695013147186,0.0,0.0,0.0,0.0
Hooded Oriole,36ft,Hooded_Oriole_36ft.wav,,4.5092722453981455,-425.6523844275725,-4.44034992987622,-430.0927343574485
American Robin,48ft,American_Robin_48ft.wav,,7.769277241866702,882.299041010373,-616.2197778246186,266.0792631857544
Barn Swallow,48ft,Barn_Swallow_48ft.wav,,5.307850868221075,-209.35367787019368,-400.0950557052249,-609.4487335754184
Black Phoebe,48ft,Black_Phoebe_48ft.wav,,8.28452248096249,633.1409038080224,-581.6658199222697,51.47508388575261
European Starling,48ft,European_Starling_48ft.wav,,8.191891168953784,368.54035305088655,-733.1324361951188,-364.5920831442327
Hooded Oriole,48ft,Hooded_Oriole_48ft.wav,,6.436419822795487,-161.72696164588706,-291.7340266625288,-453.46098830841584
House Sparrow,48ft,House_Sparrow_48ft.wav,,6.424151254319371,533.3602980460018,-647.878684264313,-114.5183862183112
Lesser Goldfinch,48ft,Lesser_Goldfinch_48ft.wav,,5.9567907711423365,928.7573502009136,-929.4844432404128,-0.7270930394988682
Mourning Dove,48ft,Mourning_Dove_48ft.wav,,6.425799051404959,507.87080121691,-260.95677675898145,246.9140244579285
Northern House Wren,48ft,Northern_House_Wren_48ft.wav,,8.225854592877743,-564.7354652040449,-654.2343124677996,-1218.969777671845
Rock Pigeon,48ft,Rock_Pigeon_48ft.wav,,4.819936991958365,-243.9712101286228,-18.872344763805003,-262.84355489242773
Song Sparrow,48ft,Song_Sparrow_48ft.wav,,8.228158245831555,1244.0573229721267,-1032.022434939941,212.0348880321853
