distance,recording_count,mean_snr_db,median_snr_db,std_snr_db,minimum_snr_db,maximum_snr_db
1ft,20,27.219705971159453,27.465997955105802,4.614935976508409,13.983384294486392,33.08695013147186
4ft,20,17.928083341278438,18.338046985207164,2.806192822045953,11.128332530402052,22.14955339740229
8ft,20,19.88143910593108,19.574674714933092,3.1770355953396088,15.218758373604222,27.341816540541544
12ft,20,12.426643491869541,13.491076916029256,3.905929917606601,1.6289306900518397,18.844616908821006
24ft,20,6.734180771650417,6.197603381607991,3.266011746851516,2.583883674597694,14.932584271559428
36ft,19,3.352505795515207,4.702143679877745,8.03482124127093,-26.058275838697632,13.887001405862051
48ft,9,-4.757076361040225,-7.211106389423092,8.904501726649135,-11.25463394108065,18.10020768041453
