threshold_db,total_finite_snr_rows,rows_at_or_above_threshold,rows_below_threshold,percent_retained,median_fdi_above,median_fdi_below,median_abs_fdi_above,median_abs_fdi_below,median_bandwidth_change_above,median_bandwidth_change_below,median_abs_bandwidth_change_above,median_abs_bandwidth_change_below,median_low_edge_change_above,median_low_edge_change_below,median_abs_low_edge_change_above,median_abs_low_edge_change_below,median_high_edge_change_above,median_high_edge_change_below,median_abs_high_edge_change_above,median_abs_high_edge_change_below
0.0,128,117,11,91.40625,5.048850842475857,5.488634397729984,5.048850842475857,5.488634397729984,-105.60638405428836,-47.30416238604448,166.52071140023918,334.3342812703909,0.0,-309.8829492275495,61.171350572341,309.8829492275495,-112.08501403752872,-195.64778997787928,115.3875248553095,231.15561936657468
3.0,128,112,16,87.5,5.042177903363905,5.42387397943005,5.042177903363905,5.42387397943005,-91.13687789236792,-59.59952986090093,163.64166361772504,356.98831351269655,0.0,-218.4098706026416,61.085891183303374,256.5533043319781,-107.4337771414589,-246.70155458252702,115.2930930611974,264.45546927687474
6.0,128,95,33,74.21875,5.240317749709876,4.722743775170233,5.240317749709876,4.722743775170233,-126.14201555406498,-71.89489733575738,189.4790052927692,107.92796079592244,0.0,-45.27796768128746,71.40678145069023,73.68949922024012,-114.32398033585788,-114.85919751519305,117.18089871122812,117.86978314264798
10.0,128,82,46,64.0625,5.2937968982020625,4.688109861721553,5.2937968982020625,4.688109861721553,-18.163044797595376,-97.49807703662418,167.73750017372845,186.26169705036023,0.0,-29.670508582675893,72.01097857040486,72.11627690481339,-60.08713341588697,-156.91609459732126,94.60948841815707,190.39834176424574
